CVE_ENT,P8_2_1,P8_2_2,P8_2_3,P8_3_01,P8_3_02,P8_3_03,P8_3_04,P8_3_05,P8_3_06,P8_3_07,P8_3_08,P8_3_09,P8_3_10,P8_3_11,P8_3_12,P8_3_13,P8_3_14,P8_3_15,P8_3_16,P8_3_17,P8_3_18,P8_7,P8_9_1,P8_9_2,P8_9_3,P8_9_4,P8_9_5,P8_9_6,P8_9_7,FAC_PER,corrupcion,corrupcion_n,P7_47_1,P7_47_2,P7_47_3,P7_47_4,P7_47_5,P7_47_6,P7_49_1_2,P7_49_2_2,P7_49_3_2,P7_49_4_2,P7_49_5_2,P7_49_6_2,P7_49_1_3,P7_49_2_3,P7_49_3_3,P7_49_4_3,P7_49_5_3,P7_49_6_3,P7_49_1_4,P7_49_2_4,P7_49_3_4,P7_49_4_4,P7_49_5_4,P7_49_6_4,FAC_PER,inseguridad,inseguridad_n,P6_2,P6_3,P6_4,P6_6,P6_5_1,P6_13_1,P6_17_1,P6_5_2,P6_13_2,P6_17_2,P6_5_3,P6_13_3,P6_17_3,P6_5_4,P6_13_4,P6_17_4,P6_7_1,P6_9_1,P6_11_1,P6_15_1,P6_7_2,P6_9_2,P6_11_2,P6_15_2,P6_7_3,P6_9_3,P6_11_3,P6_15_3,FAC_PER,servicios,servicios_n,indice_enpol
11,3.7190609066307565,0.0,3.7190609066307565,0.0,0.0,0.0,1.8413325369060478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8413325369060478,0.0,1.8413325369060478,0.0,0.0,3.7190609066307565,1.8777283697247082,3.7190609066307565,0.0,0.0,0.0,0.0,0.0,0.0,,22.277969606965875,0.08168329671867429,40.68827532272758,5.471713488091065,5.552449298632593,11.185634407806711,7.349441857815771,1.8777283697247067,9.388641848623536,1.8777283697247067,3.6747209289078855,7.430177668357299,1.8777283697247067,1.8777283697247067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,98.25196829986126,0.5563156445255304,0.0,1.8413325369060465,7.510913478898827,0.0,15.481473477152912,3.593985118366357,21.81436752513056,7.970559998254087,0.0,96.3252790710921,1.8777283697247067,37.16009534254792,22.173401361711708,7.970559998254087,13.144098588072946,88.92970817531874,26.126725555062833,24.13186554197794,12.822944406141563,9.307906038082006,66.42173608251612,49.977872582837854,20.34001296970987,18.623756221068216,9.227170227540478,69.73096285176976,25.93468699630562,0.0,,658.4391425144432,0.47016716429927835,0.34923300935753754
12,2.2214318801022093,1.0740979773631745,1.1473339027390348,1.1473339027390348,0.0,0.0,2.2214318801022093,0.0,1.0740979773631745,0.0,0.0,2.2214318801022093,1.1473339027390348,0.0,2.2946678054780696,3.368765782841244,0.0,0.0,1.1473339027390348,1.1473339027390348,0.0,4.4428637602044185,1.0740979773631745,0.0,1.0740979773631745,3.448270105988191,1.176756842935361,8.965915992753876,0.0,,40.394597353655655,0.14810882408414464,34.22208032554212,6.8464588290257655,2.2946678054780714,3.3981887230375727,2.250854820298537,1.1473339027390357,2.2946678054780714,0.0,0.0,0.0,1.0740979773631754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,53.52835018896235,0.24830942695811595,2.339556338022105,9.21628160853879,1.2791945618405127,0.0,46.53454247647735,66.10208138275428,97.73994798512484,0.0,0.0,98.92590202263682,0.0,49.42445426925058,98.89730477655007,0.0,4.5268112400904155,100.0,17.104095336331522,4.5547198203532275,2.2277002778732946,10.302446591679363,39.83897041681532,18.95706332927796,5.596466060714538,50.46185531562373,8.998970131362318,79.79079667041997,6.75006836122466,6.913426356630531,,826.4826553295921,0.7378650033425685,0.306140301085418
13,4.082190125657062,2.3340509275666728,0.7780169758555575,0.0,0.7780169758555575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7780169758555575,0.0,0.0,0.7780169758555575,0.0,0.0,0.0,0.0,2.5261561739459473,4.082190125657062,2.4975843247777454,0.8740695990451948,0.8740695990451948,0.7780169758555575,1.6520865749007525,7.222982801529798,0.0,,30.03546513140322,0.11012654446052736,26.298132675188008,4.8534514379043365,3.7444867192640654,4.522956154687747,2.4301035507563102,0.0,1.652086574900753,0.0,0.7780169758555577,0.7780169758555577,0.7780169758555577,0.0,0.7780169758555577,0.0,0.7780169758555577,0.7780169758555577,0.7780169758555577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,48.94733594369013,0.2167605288611417,11.164850233791181,19.830014829141252,0.0,2.8468928966196256,38.18857974889758,32.486145093065694,25.317587009401727,27.91295919688654,3.2081205266118684,99.22198302414444,7.392326083428248,22.468875879262203,84.28233484611006,28.690976172742094,10.769360606660246,98.42214986272899,3.383766623476782,5.582838737908398,2.4690124756095453,27.710156569997523,40.29947423990921,18.50702911777847,4.053618276488861,53.02510744031269,16.280546691309503,56.98299207842354,18.994539527598096,18.357834495360635,,777.850072283665,0.6603919895356682,0.26283322723580127
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233875066381573,1.233875066381573,1.233875066381573,1.233875066381573,1.233875066381573,0.0,0.0,,6.169375331907865,0.02262032513266063,51.8965705034113,3.7258340708046878,3.7258340708046878,8.68554320799095,1.233875066381573,0.0,3.701625199144719,1.233875066381573,3.7258340708046878,3.7258340708046878,0.0,0.0,2.467750132763146,0.0,1.2580839380415418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.38065939733355,0.4676724770523864,38.25012705782878,10.007867242584851,3.725834070804689,1.2338750663815734,12.475617375347998,10.803866463243947,28.174952879225856,3.70162519914472,7.40325039828944,86.26629868661043,2.467750132763147,45.48923503346026,18.427378907283725,3.70162519914472,10.803866463243947,79.18826629417113,46.58624338830958,23.443626261249896,18.20711686153339,6.169375331907868,76.24766272478738,50.28786858745432,31.7797425917307,24.727110171356713,28.37912652677619,71.59666460156375,41.65074312278328,0.0,,781.1967166389821,0.6657232840733535,0.3292617776886895
15,10.953092027750426,1.9697186664193684,5.818388643583237,0.9244211415508361,0.9996721656117598,1.2798775599236831,4.2153542784137406,1.6708152659585307,2.269405653940671,0.0,0.6602154416915349,3.5636927712763473,1.1914045407281681,2.8695861789634405,0.6602154416915349,4.7840187773699405,1.6302619424991438,6.176922985495904,0.9649744650102231,1.2798775599236831,0.9996721656117598,10.915316403609069,39.98432901618452,31.853231204610577,26.17412872732121,9.24460772117583,13.575276691083134,2.024681547290748,1.2241081290721385,,189.87726711376118,0.6961945555817046,52.46853338279044,8.19720950052443,7.708567837204752,12.723418021525742,3.8545256000217125,0.26698339917733155,3.4334788663440383,3.398480941520713,1.9400930016152156,1.6082441749791625,0.929493177348221,0.0,0.26698339917733155,0.0,0.6898411064956849,0.0,0.0,0.0,0.0,0.0,0.30983105911607367,0.0,0.0,0.0,,97.79568346784085,0.5531732653715116,22.683884058005578,34.99364160501469,4.56668438543535,0.26698339917733155,42.7500064102875,36.48911537824581,94.17344557609105,16.176748236369516,2.296736982265463,99.69016894088394,2.9032564929847573,54.69295858499337,91.25017938194519,8.311205706934203,14.666836610044513,96.8767216716758,22.789376956003828,22.281623947140414,11.429672750924237,28.215995925565718,38.039363422541825,41.919769305067604,14.47601672261935,50.00888355718453,24.976917298591854,59.55105553609828,39.10130117894157,2.2744776897380534,,977.8530277107712,0.9790020808933947,0.6955475445599655
16,0.0,1.811200538635884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.811200538635884,0.0,2.4434068596312453,2.646904323087787,0.0,0.0,4.8868137192624905,1.7184972767976887,,15.318023256050978,0.056164303158773125,32.84040345774836,4.254607398267129,12.671118932963191,7.877008475538896,4.254607398267129,0.0,1.8112005386358838,2.443406859631245,10.859918394327307,2.443406859631245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,79.45567831501037,0.4268678398291712,0.0,2.6469043230877864,0.0,0.0,1.8112005386358838,12.813688168623283,89.19764568394656,2.443406859631245,3.6224010772717676,87.54679060623491,0.0,3.690043276357815,70.02833109250295,7.244802154543535,3.6224010772717676,89.24854610927954,8.509214796534257,1.8112005386358838,1.8788427377219314,1.8788427377219314,39.38618002496049,3.6224010772717676,7.944650674624944,28.63534731878712,7.863059985110008,89.67958466482986,10.883945005568375,1.8112005386358838,,577.8206310677895,0.3417397056035301,0.26156079831588375
17,0.6435276530046689,0.32651695320143576,0.8234582761282545,0.0,0.32651695320143576,0.0,0.17042436972538297,0.0,0.0,0.0,0.0,0.16091811632718026,0.0,0.0,0.0,0.0,0.0,0.17042436972538297,0.0,0.0,0.34084873945076594,0.9843763924554348,1.1028297352439498,0.47363386848861116,0.3121851669521056,0.3121851669521056,0.1560925834760528,0.47363386848861116,0.0,,6.7775722128213785,0.024850309604472497,34.29718383758865,2.871869391670671,10.126729585365013,2.871869391670671,2.871869391670671,0.0,4.285946307780818,0.0,4.334468554902244,1.4140769161101463,1.4577924755605245,0.0,2.871869391670671,0.0,4.334468554902244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71.73814379889232,0.3737181011528137,0.8139520227300513,3.541272523545503,1.363394957803063,0.5112731091761487,46.13797674622258,14.813273302119665,11.208903373076462,26.900123412043875,13.278769052330508,11.379327742801847,1.1929705880776802,10.888795785567105,11.052810789600409,70.6278171248282,9.282668896853002,14.61739076758411,18.97667417204208,7.643701532728117,2.3142822449087093,27.933707783446906,33.626932182611434,25.266776624973474,5.240160102738878,36.50601562889968,7.028837452222109,59.45456454190591,15.605826018221954,0.0,,487.20819847905943,0.1973916615279357,0.1989056966085016
18,5.6036789574866495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8018394787433247,0.0,0.0,2.8018394787433247,0.0,2.8018394787433247,5.6036789574866495,0.0,2.8018394787433247,2.8018394787433247,11.207357914973299,11.207357914973299,16.811036872459947,8.405518436229974,19.612876351203273,14.009197393716624,2.8018394787433247,,109.27173967098965,0.40065033268203665,42.027592181149856,5.6036789574866495,2.8018394787433247,9.243112058592768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8018394787433247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,62.47806215471592,0.3099450245981429,19.612876351203273,17.909061494080824,2.8018394787433247,3.0622704780014103,5.864109956744735,39.22575270240654,100.0,3.0622704780014103,2.8018394787433247,100.0,3.0622704780014103,87.69461746340582,94.39632104251335,3.0622704780014103,0.0,97.19816052125668,36.42391322366322,3.639433101106118,2.8018394787433247,11.467788914231384,80.12669264953865,37.26150684602601,5.6036789574866495,53.495381095381234,20.450469973566065,82.09093850591917,19.612876351203273,8.405518436229974,,941.1336979341987,0.9205072002066332,0.4683395829533985
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,3.9999999999999982,0.9999999999999996,6.999999999999995,0.9999999999999996,0.9999999999999996,0.0,,14.999999999999993,0.054998254885714665,41.0,1.9999999999999991,4.9999999999999964,7.999999999999995,0.9999999999999996,0.0,1.9999999999999991,0.9999999999999996,0.9999999999999996,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.99999999999999,0.3066526676231087,9.999999999999993,18.999999999999993,0.0,0.0,44.0,1.9999999999999991,8.999999999999995,38.0,0.0,46.0,0.9999999999999996,17.999999999999996,71.0,37.0,5.9999999999999964,91.0,11.999999999999995,3.9999999999999982,6.999999999999995,0.0,23.999999999999996,12.999999999999995,6.999999999999995,11.999999999999995,8.999999999999995,40.0,22.999999999999996,0.0,,543.0,0.28626950306602056,0.20191426961673348
20,1.819373075423451,1.819373075423451,1.819373075423451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819373075423451,1.819373075423451,1.819373075423451,0.0,0.0,0.0,1.819373075423451,1.819373075423451,1.819373075423451,1.819373075423451,0.0,0.0,0.0,0.0,1.819373075423451,0.0,,20.013103829657958,0.07337905236518674,43.66495381016283,9.096865377117256,12.735611527964158,14.554984603387608,3.638746150846902,0.0,3.638746150846902,3.638746150846902,7.277492301693804,7.277492301693804,1.819373075423451,0.0,0.0,0.0,0.0,0.0,1.819373075423451,0.0,1.819373075423451,0.0,0.0,0.0,0.0,0.0,,110.98175760083052,0.6439841834013283,1.819373075423451,10.916238452540707,5.4581192262703535,0.0,12.735611527964158,38.141315435602564,96.36125384915309,3.638746150846902,1.819373075423451,100.0,0.0,5.4581192262703535,83.62564232118888,0.0,9.096865377117256,96.36125384915309,74.59429609236152,20.013103829657965,7.277492301693804,16.374357678811062,81.87178839405534,54.51567311441361,16.374357678811062,87.26438847203579,50.94244611185663,81.80626924576542,32.748715357622125,1.819373075423451,,991.034172919462,1.0,0.48694529430660605
