CVE_ENT,corrupcion,inseguridad,servicios,violencia,sobrepoblacion_rel,ddhh,presup_pi,interno_pt,indice
1,1.0,0.42151810430844117,0.8735954333694065,0.9890322580645161,0.9486219292989815,0.8687686408180656,0.10920799298439132,0.993670637336033,0.7844074497775346
2,0.9691209487532826,0.7889195780888268,0.5559398132020583,0.7350229684777443,0.9043089674455762,0.8423519386450787,0.267569438293063,0.3722818432615119,0.7103223213149609
3,0.5423434865214408,0.0,0.5039305162123253,0.6753945666235446,0.8943728779708409,0.22368981678738842,0.7182509080982297,0.9499576889723618,0.5228653796152318
4,1.0,0.8333023845651861,0.7167045550199128,0.6973809523809524,0.9219342919912124,0.6672347677886662,0.3659586528376144,0.5788410333086724,0.7380315690259619
5,1.0,1.0,0.7823258459108233,0.34071850841291496,0.9639255042939884,0.9006391137622495,0.42439459468767404,0.4453086893340472,0.747799106748928
6,0.9193358928342851,0.638252287641706,0.17688042610246746,0.5104682274247492,1.0,0.7349808265871325,0.5025839715960643,0.7544528350061628,0.6638473084436504
7,0.8549897669317705,0.8532564820992736,0.3045048374126825,0.7419087502755124,0.8710055921709606,0.49876438005965085,0.11024042674628487,0.9875925459922181,0.6696722471371457
8,0.42519851437516776,0.42761640833662296,1.0,0.633800350262697,0.8549281006590773,0.7817274331973947,0.3957053069085057,0.5726324930625983,0.6225779959888005
9,0.0,0.6154258958034846,0.15569910770060202,0.9954582478089467,0.7969842220890753,0.680133245535887,0.6655394031739785,0.7633438383995957,0.5818092655085729
10,0.9547145952290107,0.6620176134287518,0.8954248581407329,0.7168584969532836,0.7896444977032155,0.6665956540264166,0.06760953499195388,0.48337424837987975,0.6736332678671976
11,0.9183167032813258,0.4436843554744696,0.5298328357007216,0.7979259589652097,0.829488715797883,0.9829569663400082,0.9186464127554546,1.0,0.7992293940345578
12,0.8518911759158554,0.751690573041884,0.26213499665743145,0.9891798188874514,0.6840673057719193,0.0,0.034123944231716385,0.5361332723006939,0.5405601870729547
13,0.8898734555394726,0.7832394711388583,0.33960801046433176,0.9328701155751238,0.7660025963650889,0.14955262036642547,0.18812476998015004,0.20147928743082288,0.5628518158170214
14,0.9773796748673393,0.5323275229476137,0.33427671592664654,0.9567672143252723,0.6069752346714599,0.7085641244141458,0.5992348754419163,0.5238630576426082,0.6826907688514188
15,0.3038054444182954,0.44682673462848843,0.02099791910660531,0.989259986902423,0.0,0.5575202386024711,0.3325374221511155,0.4707084684646491,0.42703624165498866
16,0.9438356968412269,0.5731321601708288,0.6582602943964699,0.9580625752105897,0.9880667066107449,0.5602897315722197,0.6914001484959389,0.9927925452753887,0.788349994047084
17,0.9751496903955275,0.8263648734656603,0.8026083384720644,0.13635253054101226,0.6976732574395845,0.7136770345121431,0.4447518431304359,0.8587396100542747,0.6781089242467875
18,0.5993496673179634,0.6900549754018571,0.07949279979336676,0.7670194986072423,0.6018823646894348,0.8010225820195995,0.37273087757805534,0.5528462718634322,0.5893122398944283
19,0.9450017451142854,0.6933473323768913,0.7137304969339795,0.8757405375754251,0.869357898941482,0.20494247976139757,0.5383076976557155,0.663135787087404,0.6863080022860579
20,0.9266209476348133,0.35601581659867165,0.0,0.7047665220719571,0.8842370681046535,0.5171708564124413,0.3508998847795114,0.760684073850686,0.5752682240811676
21,0.6837721958013501,0.3444886463009752,0.1265525271935367,0.4513138097796884,0.807844018374276,0.5560289731572219,0.526576854499181,0.8462508133698818,0.5360629650995729
22,0.9159162461371281,0.49885971907139104,0.9250796512719307,0.9732309169467115,0.9607050129818254,1.0,0.8288725147153368,0.8029737675213743,0.8599641269723313
23,0.8329394852385978,0.6018877709365018,0.35043530162454917,0.9322914285714285,0.7772368683842621,0.20835108649339595,0.1943178988439812,0.0,0.5185194725712678
24,0.853166016236149,0.5323146561812615,0.682860974879281,1.0,0.908328340323547,0.5975713677034512,0.10971611107735946,0.9423718611964934,0.7117855347657973
25,0.8350938351963169,0.8257698236704885,0.4939112469592145,0.8093587137312881,0.9151687637307769,0.4448231785257776,0.0,0.47581718356402225,0.625746552093982
26,0.7495314561816977,0.7570495245894462,0.5386821368217096,0.8296396059359022,0.8618683842620332,0.6050276949296975,0.4759514437068366,0.5234092277424705,0.6811783614988165
27,0.4596544414265519,0.4098263177951864,0.013336168692830164,0.9037391304347826,0.8246954264030357,0.4261610566680869,0.44787391183300485,0.8792404253476036,0.5464217351763386
28,0.9451000881482109,0.9368724627495227,0.731599477901475,0.8523565754633715,0.9163670860794887,0.12782275244993602,0.09615113278123788,0.5986560020358094,0.6636001517014573
29,0.9627130475351087,0.7468082020563713,0.38802399366784535,0.0,0.945176752546435,0.7094162760971453,0.8220851105387018,0.9063675430674625,0.6690059688353382
30,0.6339606503361863,0.6336282549361627,0.4896344046279092,0.7789181534975927,0.8631416017575395,0.5130805283340433,0.2643615916054821,0.5239061883167224,0.5980425166963631
31,0.7773818232548239,0.5913060831231172,0.7537386550535689,0.990517006802721,0.9951567805072898,0.6640391989774179,1.0,0.9801889156124489,0.8263950519410428
32,0.9430862125926879,0.4076595747313021,0.47381315698296245,0.9636031331592689,0.945076892350709,0.33361738389433326,0.7157754854806834,0.877759391491437,0.698437438287218
