CVE_ENT,corrupcion,inseguridad,servicios,violencia,sobrepoblacion_rel,ddhh,presup_pi,interno_pt,indice
1,0.9339477755601084,0.21547929448621794,0.6608957899106724,0.9890322580645161,0.9486219292989815,0.8687686408180656,0.10920799298439132,0.993670637336033,0.722323830292344
2,0.980516055115642,0.7715196682968392,0.21628100451924148,0.7350229684777443,0.9043089674455762,0.8423519386450787,0.267569438293063,0.3722818432615119,0.6754557199322349
3,0.8706248342280872,0.23540344665000767,0.5389384674432184,0.6753945666235446,0.8943728779708409,0.22368981678738842,0.7182509080982297,0.9499576889723618,0.6109188938918193
4,0.9735599385220209,0.6689822403731751,0.682063839741132,0.6973809523809524,0.9219342919912124,0.6672347677886662,0.3659586528376144,0.5788410333086724,0.7059534666475853
5,1.0,1.0,0.7186204291529206,0.34071850841291496,0.9639255042939884,0.9006391137622495,0.42439459468767404,0.4453086893340472,0.7414285650731377
6,0.9545412413737789,0.571592702795225,0.35102878039965413,0.5104682274247492,1.0,0.7349808265871325,0.5025839715960643,0.7544528350061628,0.6765440084273209
7,0.9465354039415637,0.7984587171109429,0.4941523270358713,0.7419087502755124,0.8710055921709606,0.49876438005965085,0.11024042674628487,0.9875925459922181,0.694149176902684
8,0.884568608568819,0.7315034027917671,1.0,0.633800350262697,0.8549281006590773,0.7817274331973947,0.3957053069085057,0.5726324930625983,0.7370665592861199
9,0.0,0.03257100066810226,0.0,0.9954582478089467,0.7969842220890753,0.680133245535887,0.6655394031739785,0.7633438383995957,0.4788111204682053
10,0.9928980594686297,0.890658665410535,0.8786315177234549,0.7168584969532836,0.7896444977032155,0.6665956540264166,0.06760953499195388,0.48337424837987975,0.7119776112586802
11,0.9598238012704594,0.3569126913569619,0.6745215438545233,0.7979259589652097,0.829488715797883,0.9829569663400082,0.9186464127554546,1.0,0.806908579930682
12,0.9623892762110104,0.8355509534159816,0.294315684175377,0.9891798188874514,0.6840673057719193,0.0,0.034123944231716385,0.5361332723006939,0.5729320279251371
13,0.8847336907222005,0.7052402947827081,0.3773743297810498,0.9328701155751238,0.7660025963650889,0.14955262036642547,0.18812476998015004,0.20147928743082288,0.5541576065726799
14,0.9723159641196584,0.8610218642657747,0.6751508398561266,0.9567672143252723,0.6069752346714599,0.7085641244141458,0.5992348754419163,0.5238630576426082,0.7653227758299388
15,0.37194951232777407,0.0,0.006967663326207907,0.989259986902423,0.0,0.5575202386024711,0.3325374221511155,0.4707084684646491,0.3688308160690974
16,0.8529172752481387,0.5491329940668361,0.6468576416246156,0.9580625752105897,0.9880667066107449,0.5602897315722197,0.6914001484959389,0.9927925452753887,0.7699720906153364
17,0.6662033207504807,0.27647837608530434,0.21585330871839326,0.13635253054101226,0.6976732574395845,0.7136770345121431,0.4447518431304359,0.8587396100542747,0.49060849121760985
18,0.9253314008550175,0.68020358371735,0.7174087967053353,0.7670194986072423,0.6018823646894348,0.8010225820195995,0.37273087757805534,0.5528462718634322,0.7005233908635071
19,0.9861080412644749,0.8434601908636823,0.8196564274521214,0.8757405375754251,0.869357898941482,0.20494247976139757,0.5383076976557155,0.663135787087404,0.7255834685334193
20,0.9317963326794257,0.46991630540515317,0.4572803672332859,0.7047665220719571,0.8842370681046535,0.5171708564124413,0.3508998847795114,0.760684073850686,0.6388576418821603
21,0.590867722359947,0.2201175887744915,0.1569698770962299,0.4513138097796884,0.807844018374276,0.5560289731572219,0.526576854499181,0.8462508133698818,0.5065133704446592
22,0.9470424154121699,0.35626125025881106,0.6751385892778266,0.9732309169467115,0.9607050129818254,1.0,0.8288725147153368,0.8029737675213743,0.8182491758422902
23,0.944678612449995,0.769494155438775,0.436702877707975,0.9322914285714285,0.7772368683842621,0.20835108649339595,0.1943178988439812,0.0,0.5690480569366609
24,0.9142703096468482,0.3959471579386249,0.5781002442074128,1.0,0.908328340323547,0.5975713677034512,0.10971611107735946,0.9423718611964934,0.6900199809738199
25,0.8536960666354623,0.7911471125153098,0.5698403980078235,0.8093587137312881,0.9151687637307769,0.4448231785257776,0.0,0.47581718356402225,0.630936395241438
26,0.7646293119387695,0.37795724674250664,0.6213973368660428,0.8296396059359022,0.8618683842620332,0.6050276949296975,0.4759514437068366,0.5234092277424705,0.6348507181897697
27,0.8290698698924517,0.4214711930767966,0.3227070544753683,0.9037391304347826,0.8246954264030357,0.4261610566680869,0.44787391183300485,0.8792404253476036,0.6345178693167189
28,0.9736409457823778,0.877985421067932,0.894929544179494,0.8523565754633715,0.9163670860794887,0.12782275244993602,0.09615113278123788,0.5986560020358094,0.6753812307221456
29,0.9457635513643279,0.23178202552660554,0.4144055632397299,0.0,0.945176752546435,0.7094162760971453,0.8220851105387018,0.9063675430674625,0.5918477748874447
30,0.8921690269597393,0.7432716078745578,0.781189735453283,0.7789181534975927,0.8631416017575395,0.5130805283340433,0.2643615916054821,0.5239061883167224,0.6823758092131926
31,0.9260848064451241,0.6747827785695908,0.9192916909832762,0.990517006802721,0.9951567805072898,0.6640391989774179,1.0,0.9801889156124489,0.8777773073295296
32,0.9198434120615667,0.4514155042696414,0.515280777878037,0.9636031331592689,0.945076892350709,0.33361738389433326,0.7157754854806834,0.877759391491437,0.7056611697278081
