CVE_ENT,corrupcion,inseguridad,servicios,violencia,sobrepoblacion_rel,ddhh,presup_pi,interno_pt,indice
1,0.937673052205974,0.22493784126616656,0.7082216717952514,0.9890322580645161,0.9486219292989815,0.8687686408180656,0.10920799298439132,0.993670637336033,0.729033991994674
2,0.9801956687726813,0.7725359773253946,0.2592247677060675,0.7350229684777443,0.9043089674455762,0.8423519386450787,0.267569438293063,0.3722818432615119,0.6798544846537568
3,0.8637106480267809,0.22339107437593775,0.5587198427614816,0.6753945666235446,0.8943728779708409,0.22368981678738842,0.7182509080982297,0.9499576889723618,0.6100580476523392
4,0.9739419558354764,0.6788521533310683,0.704098483357016,0.6973809523809524,0.9219342919912124,0.6672347677886662,0.3659586528376144,0.5788410333086724,0.709694720549876
5,1.0,1.0,0.7442111051077248,0.34071850841291496,0.9639255042939884,0.9006391137622495,0.42439459468767404,0.4453086893340472,0.7439876326686181
6,0.9536672480159444,0.5753481264199863,0.365341170886304,0.5104682274247492,1.0,0.7349808265871325,0.5025839715960643,0.7544528350061628,0.678407462016025
7,0.916601094351102,0.6841674553478834,0.3388074808251852,0.7419087502755124,0.8710055921709606,0.49876438005965085,0.11024042674628487,0.9875925459922181,0.6569808565785872
8,0.8600766475909224,0.6966194314528804,1.0,0.633800350262697,0.8549281006590773,0.7817274331973947,0.3957053069085057,0.5726324930625983,0.7281601694386023
9,0.0,0.06994198723061329,0.036087132200672944,0.9954582478089467,0.7969842220890753,0.680133245535887,0.6655394031739785,0.7633438383995957,0.48802548167264936
10,0.9859485117972923,0.8362532996191974,0.9017121085801365,0.7168584969532836,0.7896444977032155,0.6665956540264166,0.06760953499195388,0.48337424837987975,0.705082433324947
11,0.9480593960449458,0.26428596180695607,0.6644457012317128,0.7979259589652097,0.829488715797883,0.9829569663400082,0.9186464127554546,1.0,0.790242325452073
12,0.9596382950617559,0.8282756823606878,0.31716839845548384,0.9891798188874514,0.6840673057719193,0.0,0.034123944231716385,0.5361332723006939,0.5737133615224657
13,0.8874501134707831,0.7083089266577305,0.4008826131167953,0.9328701155751238,0.7660025963650889,0.14955262036642547,0.18812476998015004,0.20147928743082288,0.5573761930997951
14,0.9705966759430036,0.8359292245903985,0.6727538081250818,0.9567672143252723,0.6069752346714599,0.7085641244141458,0.5992348754419163,0.5238630576426082,0.7610612834790296
15,0.3505675531235204,0.0,0.0,0.989259986902423,0.0,0.5575202386024711,0.3325374221511155,0.4707084684646491,0.36492675585583867
16,0.8531859829877063,0.5522324399623157,0.6667940429577333,0.9580625752105897,0.9880667066107449,0.5602897315722197,0.6914001484959389,0.9927925452753887,0.7724709537939053
17,0.6447829716852981,0.2554300019763711,0.15215047625662614,0.13635253054101226,0.6976732574395845,0.7136770345121431,0.4447518431304359,0.8587396100542747,0.47786789949531583
18,0.819659072468991,0.5185223463902184,0.15963054294062595,0.7670194986072423,0.6018823646894348,0.8010225820195995,0.37273087757805534,0.5528462718634322,0.6046425306300625
19,0.9850456414729987,0.8295709533195824,0.8346744993027896,0.8757405375754251,0.869357898941482,0.20494247976139757,0.5383076976557155,0.663135787087404,0.7248425301181496
20,0.9088853994508312,0.5242268268836274,0.40376073897243214,0.7047665220719571,0.8842370681046535,0.5171708564124413,0.3508998847795114,0.760684073850686,0.6382156172935569
21,0.5966157666157637,0.2237849639933136,0.18083231636995867,0.4513138097796884,0.807844018374276,0.5560289731572219,0.526576854499181,0.8462508133698818,0.5103119272932279
22,0.946502829306247,0.3629593037175657,0.717130542160239,0.9732309169467115,0.9607050129818254,1.0,0.8288725147153368,0.8029737675213743,0.8233721412334561
23,0.9419864068534671,0.756274457572447,0.45509929754315404,0.9322914285714285,0.7772368683842621,0.20835108649339595,0.1943178988439812,0.0,0.5685009134007505
24,0.9128301503264019,0.40356751767570176,0.6067222925895553,1.0,0.908328340323547,0.5975713677034512,0.10971611107735946,0.9423718611964934,0.6938092158745287
25,0.8366186320663305,0.7772339495686508,0.49932238974173726,0.8093587137312881,0.9151687637307769,0.4448231785257776,0.0,0.47581718356402225,0.6192360047874607
26,0.68952864173769,0.22773954603561275,0.38672238656071756,0.8296396059359022,0.8618683842620332,0.6050276949296975,0.4759514437068366,0.5234092277424705,0.5775854675230412
27,0.8028841053092152,0.364921299469378,0.243652040310828,0.9037391304347826,0.8246954264030357,0.4261610566680869,0.44787391183300485,0.8792404253476036,0.6142020191716666
28,0.973011226116565,0.8818830016132368,0.9054841960308038,0.8523565754633715,0.9163670860794887,0.12782275244993602,0.09615113278123788,0.5986560020358094,0.6769268750392003
29,0.9484033096785223,0.2853291750217467,0.4403327443644264,0.0,0.945176752546435,0.7094162760971453,0.8220851105387018,0.9063675430674625,0.6028685291713147
30,0.8432426074265106,0.7274069881313541,0.6117701637206641,0.7789181534975927,0.8631416017575395,0.5130805283340433,0.2643615916054821,0.5239061883167224,0.6557151961484659
31,0.9228812081590143,0.6709703770561093,0.9289528508451723,0.990517006802721,0.9951567805072898,0.6640391989774179,1.0,0.9801889156124489,0.8776910233457805
32,0.9213750532479972,0.441133449247175,0.5370275618408054,0.9636031331592689,0.945076892350709,0.33361738389433326,0.7157754854806834,0.877759391491437,0.7065232860486796
