CVE_ENT,P8_2_1,P8_2_2,P8_2_3,P8_3_01,P8_3_02,P8_3_03,P8_3_04,P8_3_05,P8_3_06,P8_3_07,P8_3_08,P8_3_09,P8_3_10,P8_3_11,P8_3_12,P8_3_13,P8_3_14,P8_3_15,P8_3_16,P8_3_17,P8_3_18,P8_7,P8_9_1,P8_9_2,P8_9_3,P8_9_4,P8_9_5,P8_9_6,P8_9_7,FAC_PER,corrupcion,corrupcion_n,P7_47_1,P7_47_2,P7_47_3,P7_47_4,P7_47_5,P7_47_6,P7_49_1_2,P7_49_2_2,P7_49_3_2,P7_49_4_2,P7_49_5_2,P7_49_6_2,P7_49_1_3,P7_49_2_3,P7_49_3_3,P7_49_4_3,P7_49_5_3,P7_49_6_3,P7_49_1_4,P7_49_2_4,P7_49_3_4,P7_49_4_4,P7_49_5_4,P7_49_6_4,FAC_PER,inseguridad,inseguridad_n,P6_2,P6_3,P6_4,P6_6,P6_5_1,P6_13_1,P6_17_1,P6_5_2,P6_13_2,P6_17_2,P6_5_3,P6_13_3,P6_17_3,P6_5_4,P6_13_4,P6_17_4,P6_7_1,P6_9_1,P6_11_1,P6_15_1,P6_7_2,P6_9_2,P6_11_2,P6_15_2,P6_7_3,P6_9_3,P6_11_3,P6_15_3,FAC_PER,servicios,servicios_n,indice_enpol
7,0.2797202797202839,0.13986013986014195,0.2797202797202839,0.0,0.0,0.0,0.0,0.13986013986014195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13986013986014195,0.2797202797202839,0.0,0.0,0.13986013986014195,0.0,0.0,0.13986013986014195,0.0,,1.5384615384615616,0.10148200423429958,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.202797202797466,4.3356643356644025,1.1188811188811354,0.2797202797202839,1.2587412587412772,10.069930069930209,0.0,0.13986013986014195,21.39860139860175,0.13986013986014195,0.0,17.622377622377893,3.4965034965035495,35.384615384616026,3.4965034965035495,0.0,70.06993006993063,4.475524475524544,1.1188811188811354,65.31468531468597,90.76923076923094,22.657342657343033,1.8181818181818452,62.93706293706365,54.54545454545541,73.56643356643407,8.111888111888229,0.2797202797202839,,571.6083916083976,0.6801389417046618,
8,1.0989010989011003,0.5494505494505502,0.5494505494505502,0.0,0.0,0.0,0.5494505494505502,0.5494505494505502,0.5494505494505502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494505494505502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.395604395604401,0.2899485835265663,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5494505494505502,1.0989010989011003,0.0,0.0,42.307692307692314,0.0,0.0,0.5494505494505502,0.0,0.0,65.93406593406594,3.846153846153852,0.0,0.5494505494505502,1.648351648351651,4.395604395604401,35.164835164835175,4.395604395604401,3.846153846153852,10.439560439560452,50.54945054945056,32.41758241758242,5.494505494505502,20.87912087912089,10.439560439560452,86.26373626373626,11.53846153846155,0.5494505494505502,,392.85714285714306,0.2666620990608309,
10,1.0260374900762774,0.0,0.45601666225612336,0.0,0.0,0.0,0.0,0.11400416556403084,0.0,0.0,0.0,0.0,0.0,0.34201249669209255,0.0,0.0,0.0,0.11400416556403084,0.0,0.11400416556403084,0.34201249669209255,0.9120333245122465,0.20861717946904715,0.0,0.0,0.0,0.0,0.0,0.0,,3.628742146389972,0.23936381681232993,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34201249669209377,2.316522870208598,0.11400416556403126,1.47971140794235,38.84900107250549,3.5317863880949116,0.11400416556403126,0.6646338417251729,21.767767389559904,0.8538598695352062,0.20861717946904793,21.217137713398756,0.5700208278201563,31.461113403431213,38.22314953409837,1.1206505039812977,50.278828954666146,12.880127964345512,6.413644597343553,40.8863703897791,51.3048664447424,63.3505256912114,10.001261696025466,37.96104438843239,26.16278462475028,64.51295043943927,24.991638095500658,0.2280083311280625,,551.806044446955,0.6343333205498454,
11,2.673796791443861,0.40106951871657925,2.1390374331550883,0.1336898395721931,0.5347593582887724,0.0,0.40106951871657925,0.8021390374331585,0.1336898395721931,0.1336898395721931,0.1336898395721931,0.1336898395721931,0.1336898395721931,0.8021390374331585,0.5347593582887724,0.1336898395721931,0.2673796791443862,0.5347593582887724,0.6684491978609655,0.2673796791443862,0.9358288770053513,2.5401069518716675,0.0,0.0,0.0,0.0,0.0,0.0,0.1336898395721931,,14.572192513369043,0.9612299465240703,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.588235294117784,5.08021390374334,1.3368983957219305,1.2032085561497374,22.326203208556304,4.812834224598954,0.2673796791443862,0.0,49.19786096256704,0.5347593582887724,0.1336898395721931,28.475935828877226,0.40106951871657925,37.967914438502994,19.38502673796804,1.3368983957219305,38.77005347593616,6.550802139037461,6.818181818181847,71.12299465240606,63.77005347593566,44.91978609625699,16.71122994652416,65.37433155080194,25.802139037433346,82.21925133689777,16.577540106951968,1.3368983957219305,,633.0213903743324,0.8221958672054411,
14,0.8264462809917374,0.0,0.8264462809917374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264462809917374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264462809917374,0.0,0.8264462809917374,0.0,0.0,0.0,0.0,0.0,,4.132231404958688,0.272575631207826,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.479338842975212,5.785123966942162,0.0,0.0,21.48760330578518,4.132231404958688,0.8264462809917374,0.8264462809917374,14.049586776859538,14.876033057851275,1.652892561983475,26.4462809917356,1.652892561983475,47.10743801652897,14.049586776859538,8.264462809917376,59.504132231404995,11.570247933884325,22.314049586776914,2.479338842975212,71.07438016528928,55.37190082644632,30.578512396694276,42.97520661157029,12.396694214876064,79.33884297520663,52.89256198347112,1.652892561983475,,605.7851239669427,0.7591945426373256,
15,1.6129032258064528,0.0,1.6129032258064528,0.0,1.6129032258064528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6129032258064528,1.6129032258064528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.064516129032263,0.5319621189701111,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.8387096774193585,1.6129032258064528,0.0,30.645161290322616,40.322580645161345,0.0,0.0,3.2258064516129057,1.6129032258064528,0.0,6.451612903225811,1.6129032258064528,20.96774193548389,0.0,56.45161290322589,32.25806451612907,9.677419354838717,3.2258064516129057,8.064516129032263,53.225806451612975,58.06451612903234,9.677419354838717,11.290322580645169,6.451612903225811,82.25806451612908,22.58064516129034,0.0,,464.5161290322585,0.43241943814368144,
17,0.3329804542224173,0.3329804542224173,0.6550657390899727,0.0,0.1610426424337777,0.0,0.1610426424337777,0.0,0.0,0.0,0.0,0.0,0.0,0.17193781178863954,0.0,0.0,0.0,0.1610426424337777,0.0,0.0,0.3220852848675554,0.4831279273013331,0.1610426424337777,0.0,0.0,0.0,0.0,0.0,0.0,,2.942348241227446,0.194087007838765,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49402309665619487,3.4145809991739178,1.460278951258861,0.4831279273013331,39.64917554677383,9.051073484356133,0.3329804542224173,25.294590031457975,13.088034714555416,1.353712155599393,1.127298497036444,6.829161998347832,0.3329804542224173,68.27357012045549,8.24586027218725,3.7257711146866117,17.545137753816018,5.497240181458165,2.652948464424477,27.03575848805409,35.46922153716323,21.60388932272506,5.884696482454889,38.08709959563403,5.830220635680582,62.441993906977146,16.193810496105783,0.17193781178863954,,421.5701744945736,0.3330793898328703,
18,1.157681871089804,0.44255639191072527,0.8059818416018633,0.0,0.0,0.0,0.26084366706515627,0.26084366706515627,0.0,0.0,0.09085636242278448,0.07913094221958729,0.09085636242278448,0.7151254791790789,0.09085636242278448,0.545138174536707,0.18171272484556897,0.09085636242278448,0.16998730464237177,0.35170002948794077,0.18171272484556897,1.2485382335125887,0.09085636242278448,0.0,0.18171272484556897,0.0,0.0,0.27256908726835344,0.09085636242278448,,7.400373038652747,0.4881530472285631,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.755020067343475,6.365776791392516,1.9753891328948643,3.93905284558653,9.053219251047711,2.9044565983263095,8.267928980473387,3.810010646743383,3.4173655114562185,13.901023450686049,1.157681871089804,1.7819509878460977,1.453701798764552,16.219209038852483,5.187591079099114,0.5334127543335098,23.99184852480478,9.003558300856069,12.787296261206233,22.078096068736684,59.39335030185147,43.67839690834459,19.076889109581987,35.1467398382114,14.542786832835159,73.07447519127179,42.793221547915245,0.36342544969113794,,443.65287514124253,0.38415979013339946,
20,2.551834130781484,1.275917065390742,1.5948963317384273,0.0,0.0,0.0,0.0,1.275917065390742,0.15948963317384274,0.0,0.0,0.0,0.0,0.9569377990430564,0.15948963317384274,0.4784688995215282,0.4784688995215282,0.15948963317384274,0.3189792663476855,0.4784688995215282,0.4784688995215282,3.50877192982454,0.15948963317384274,0.15948963317384274,0.15948963317384274,0.15948963317384274,0.15948963317384274,0.15948963317384274,0.0,,14.832535885167374,0.9784030551775567,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4784688995215282,3.349282296650697,0.15948963317384274,58.37320574162674,11.642743221690516,0.3189792663476855,0.15948963317384274,0.0,36.842105263157826,0.3189792663476855,0.0,23.923444976076468,0.0,94.09888357256779,12.280701754385886,0.9569377990430564,48.48484848484843,9.250398724082881,3.349282296650697,52.47208931419453,82.29665071770333,49.92025518341302,20.73365231259959,66.02870813397126,14.832535885167369,84.52950558213715,34.44976076555017,0.637958532695371,,709.8883572567775,1.0,
25,0.6060606060606065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060606060606065,0.0,0.6060606060606065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060606060606065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.424242424242426,0.15991103697525766,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6060606060606065,1.8181818181818195,0.6060606060606065,0.6060606060606065,10.909090909090912,30.303030303030305,0.6060606060606065,0.0,1.212121212121213,1.8181818181818195,0.6060606060606065,0.6060606060606065,0.0,1.8181818181818195,0.6060606060606065,1.212121212121213,23.03030303030303,7.8787878787878824,0.0,9.090909090909093,58.78787878787879,16.969696969696972,0.0,15.75757575757576,9.090909090909093,79.39393939393938,4.242424242424246,0.0,,277.5757575757576,0.0,
